Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Fiddle music shop,New Quantity Fiddle music shop,Stock Alert Enabled Fiddle music shop,Stock Alert Count Fiddle music shop,Image Path
,Brenda Stubbert The 2nd Collection,,book-stubbert2nd,"161 tunes, a mix of traditional and original material from Cape Breton, Irish, and Scottish traditions.",Books > Celtic Music,Celtic Fiddle Books,Brenda Stubbert The 2nd Collection - Celtic Fiddle Music Book,Cape Breton fiddle music collection with 161 traditional and original tunes by Brenda Stubbert,brenda-stubbert-2nd-collection,,VISIBLE,,0.5,Celtic Fiddle Music Books,Traditional Cape Breton fiddle tunes and compositions,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,
,Jerry Holland The 2nd Collection,,book-holland2nd,"322 tunes, including 120 new Holland compositions, with chords and tunes from several albums.",Books > Celtic Music,Celtic Fiddle Books,Jerry Holland The 2nd Collection - Celtic Fiddle Music Book,Comprehensive collection of 322 Celtic fiddle tunes including 120 new Jerry Holland compositions,jerry-holland-2nd-collection,,VISIBLE,,0.6,Celtic Fiddle Music Books,Jerry Holland compositions and traditional Celtic tunes,True,True,True,True,24.5,,False,True,False,True,False,,,20,20,True,5,
,The Lighthouse Collection,,book-lighthouse,"294 tunes, mostly new to Cape Breton, Irish, and Scottish traditions, with chords.",Books > Celtic Music,Celtic Fiddle Books,The Lighthouse Collection - Celtic Fiddle Music Book,294 Celtic fiddle tunes with chords from Cape Breton Irish and Scottish traditions,lighthouse-collection,,VISIBLE,,0.5,Celtic Fiddle Music Books,Celtic fiddle music collection with chords,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,product_images_consolidated/cape_breton/Book-Lighthouse.jpg
,Jerry Holland and Friends,,cd-jerryfriends,"57 tunes on 21 tracks, including many never recorded before, with various guest artists.",CDs > Celtic Music,Celtic Fiddle CDs,Jerry Holland and Friends - Celtic Fiddle Music CD,Celtic fiddle music CD featuring 57 tunes with Jerry Holland and guest artists,jerry-holland-friends,,VISIBLE,,0.1,Celtic Fiddle Music CDs,Traditional Cape Breton fiddle music recordings,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,
,The CB Musical Heritage Series - 9 Book Bundle,,bundle-heritage9,"The Heritage Series currently contains 9 books. Includes: The Cape Breton Highland Collection, Cape Breton Scottish Collection, The Cape Breton Fiddlers Collection, Brenda Stubbert: The Second Collection, Jerry Holland: The Second Collection, Winston Fitzgerald: A Collection of Fiddle Tunes, The Lighthouse Collection, Brenda Stubbert Collection, Jerry Holland's Collection of Fiddle Tunes. Substitutions available.",Bundles > Celtic Music,Celtic Music Bundles,CB Musical Heritage Series - 9 Book Bundle - Celtic Fiddle Music,Complete collection of 9 Celtic fiddle music books from Cape Breton musical heritage series,cb-heritage-9-book-bundle,,VISIBLE,,4.5,Celtic Music Book Bundles,Complete Cape Breton fiddle music collection,True,True,True,True,112.5,,False,True,False,True,False,,,10,10,True,3,
,The Lighthouse Collection book & More Tunes CDs,,bundle-lighthouse-cd,"294 melodies with chords by Paul Cranford, plus 'More Tunes from the Lighthouse' (2 CDs, 34 medleys, 24-page booklet). New edition includes worldwide session favorites.",Bundles > Celtic Music,Celtic Music Bundles,Lighthouse Collection Book & CDs Bundle - Celtic Fiddle Music,Celtic fiddle music bundle with book and 2 CDs featuring 294 melodies and worldwide session favorites,lighthouse-book-cd-bundle,,VISIBLE,,0.7,Celtic Music Bundles,Celtic fiddle music book and CD collection,True,True,True,True,33.0,,False,True,False,True,False,,,15,15,True,3,
,Winston Fitzgerald Collection & Classic Cuts CD,,bundle-winstonfitzgerald,Winston has set the standard for Cape Breton fiddling. Classic Cuts gives a sampling of his music recorded during the 1950s & 60s. Specially priced book-CD bundle.,Bundles > Celtic Music,Celtic Music Bundles,Winston Fitzgerald Collection & Classic Cuts CD Bundle,Cape Breton fiddle legend Winston Fitzgerald collection with book and classic recordings CD,winston-fitzgerald-bundle,,VISIBLE,,0.6,Celtic Music Bundles,Winston Fitzgerald Cape Breton fiddle music collection,True,True,True,True,34.95,,False,True,False,True,False,,,12,12,True,3,
,Winston Fitzgerald: Classic Cuts,,cd-fitzgerald-classiccuts,"22 digitally remastered classic cuts from the Celtic LPs, featuring some of the most influential Cape Breton fiddle music.",CDs > Celtic Music,Celtic Fiddle CDs,Winston Fitzgerald Classic Cuts - Cape Breton Fiddle CD,22 digitally remastered Cape Breton fiddle classics from legendary fiddler Winston Fitzgerald,winston-fitzgerald-classic-cuts,,VISIBLE,,0.1,Celtic Fiddle Music CDs,Classic Cape Breton fiddle recordings,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,
,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book),,cranford-bsft-b,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) Brenda Stubbert - Collection of Fiddle Tunes (book) of the Cape Breton Musical Heritage Series. A mix of 131 traditional,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) - Celtic Music,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) Brenda Stubbert - Collection of Fiddle Tunes (book) of the Cape Breton Musical Herita,cranford-publications-brenda-stubbert-collection-of-fiddle-tunes-book,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) Brenda Stubbert - Collect,TRUE,TRUE,TRUE,TRUE,19.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book)",,cranford-cbf-b,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) The Cape Breton Fiddler, Allister MacGillivray (book) an instant success. Mostly consisting of photographs, interviews and",Books > Celtic Music,Celtic Fiddle Books,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) - Celtic Music","Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) The Cape Breton Fiddler, Allister MacGillivray (book) an instant success. Mostly co",cranford-publications-the-cape-breton-fiddler-allister-macgillivray-book,,VISIBLE,,0.5,Celtic Music,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) The Cape Breton Fiddler",TRUE,TRUE,TRUE,TRUE,19.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Jerry Holland's Collection Of Fiddle Tunes (book),,cranford-jh1-b,Cranford Publications: Jerry Holland's Collection Of Fiddle Tunes (book) Musical Heritage Series. Fifth edition (newly typset with chords) of a book from one of the world's most respected fiddlers. A healthy balance of Irish and,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Jerry Holland's Collection Of Fiddle Tunes (book) - Celtic Music,Cranford Publications: Jerry Holland's Collection Of Fiddle Tunes (book) Musical Heritage Series. Fifth edition (newly typset with chords) of a book from one of,cranford-publications-jerry-holland-s-collection-of-fiddle-tunes-book,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Jerry Holland's Collection Of Fiddle Tunes (book) Musical Heritage Series. Fi,TRUE,TRUE,TRUE,TRUE,19.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Jerry Holland - The Second Collection (book),,cranford-jh2-b,"Cranford Publications: Jerry Holland - The Second Collection (book) No duplication of tunes from past books, Good mix of traditional and original tunes, 120 new Holland compositions Complete with",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Jerry Holland - The Second Collection (book) - Celtic Music,"Cranford Publications: Jerry Holland - The Second Collection (book) No duplication of tunes from past books, Good mix of traditional and original tunes, 120 new",cranford-publications-jerry-holland-the-second-collection-book,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Jerry Holland - The Second Collection (book) No duplication of tunes from pas,TRUE,TRUE,TRUE,TRUE,24.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,"40
tunes recorded on Crystal Clear",,cranford-hjcc-cd,40 tunes recorded on Crystal Clear31 tunes recorded on Fiddler's Choice,Books > Celtic Music,Celtic Fiddle Books,"40
tunes recorded on Crystal Clear - Celtic Music",40 tunes recorded on Crystal Clear31 tunes recorded on Fiddler's Choice,40-tunes-recorded-on-crystal-clear,,VISIBLE,,0.5,Celtic Music,40 tunes recorded on Crystal Clear31 tunes recorded on Fiddler's Choice,TRUE,TRUE,TRUE,TRUE,0.00,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,"31
tunes recorded on Fiddler's Choice",,cranford-hjfc-cd,40 tunes recorded on Crystal Clear31 tunes recorded on Fiddler's Choice,Books > Celtic Music,Celtic Fiddle Books,"31
tunes recorded on Fiddler's Choice - Celtic Music",40 tunes recorded on Crystal Clear31 tunes recorded on Fiddler's Choice,31-tunes-recorded-on-fiddler-s-choice,,VISIBLE,,0.5,Celtic Music,40 tunes recorded on Crystal Clear31 tunes recorded on Fiddler's Choice,TRUE,TRUE,TRUE,TRUE,0.00,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,"Cranford Publications: The Lighthouse Collection, Paul Cranford (Book only)",,cranford-lc-bk,"Cranford Publications: The Lighthouse Collection, Paul Cranford (Book only) The Lighthouse Collection, Paul Cranford (Book only) Cape Breton, Irish and Scottish traditions mainly composed by",Books > Celtic Music,Celtic Fiddle Books,"Cranford Publications: The Lighthouse Collection, Paul Cranford (Book only) - Celtic Music","Cranford Publications: The Lighthouse Collection, Paul Cranford (Book only) The Lighthouse Collection, Paul Cranford (Book only) Cape Breton, Irish and Scottish",cranford-publications-the-lighthouse-collection-paul-cranford-book-only,,VISIBLE,,0.5,Celtic Music,"Cranford Publications: The Lighthouse Collection, Paul Cranford (Book only) The Lighthouse Collectio",TRUE,TRUE,TRUE,TRUE,19.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,"Cranford Publications: The Trip To Windsor Collection, Dan R MacDonald (book)",,cranford-twc,"Cranford Publications: The Trip To Windsor Collection, Dan R MacDonald (book) The Trip To Windsor Collection, Dan R MacDonald (book) (The Music of Dan R. MacDonald Vol.2) compiled 1994 by John Donald Cameron.",Books > Celtic Music,Celtic Fiddle Books,"Cranford Publications: The Trip To Windsor Collection, Dan R MacDonald (book) - Celtic Music","Cranford Publications: The Trip To Windsor Collection, Dan R MacDonald (book) The Trip To Windsor Collection, Dan R MacDonald (book) (The Music of Dan R. MacDon",cranford-publications-the-trip-to-windsor-collection-dan-r-macdonald-book,,VISIBLE,,0.5,Celtic Music,"Cranford Publications: The Trip To Windsor Collection, Dan R MacDonald (book) The Trip To Windsor Co",TRUE,TRUE,TRUE,TRUE,19.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Winston Fitzgerald - Collection of Fiddle Tunes (book),,cranford-wfc-b,Cranford Publications: Winston Fitzgerald - Collection of Fiddle Tunes (book) Winston Fitzgerald - Collection of Fiddle Tunes (book) of Fiddle Tunes memorializes the most famous of 20th century Cape,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Winston Fitzgerald - Collection of Fiddle Tunes (book) - Celtic Music,Cranford Publications: Winston Fitzgerald - Collection of Fiddle Tunes (book) Winston Fitzgerald - Collection of Fiddle Tunes (book) of Fiddle Tunes memorialize,cranford-publications-winston-fitzgerald-collection-of-fiddle-tunes-book,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Winston Fitzgerald - Collection of Fiddle Tunes (book) Winston Fitzgerald - C,TRUE,TRUE,TRUE,TRUE,19.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Heather Hill Collection (book-cassette and/or mp3),,cranford-hhc,"Cranford Publications: Heather Hill Collection (book-cassette and/or mp3) The Music of Dan R. MacDonald Vol. 1, compiled by John Donald Over 200 Fiddle tunes from Cape Breton's most famous and prolific",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Heather Hill Collection (book-cassette and/or mp3) - Celtic Music,"Cranford Publications: Heather Hill Collection (book-cassette and/or mp3) The Music of Dan R. MacDonald Vol. 1, compiled by John Donald Over 200 Fiddle tunes fr",cranford-publications-heather-hill-collection-book-cassette-and-or-mp3,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Heather Hill Collection (book-cassette and/or mp3) The Music of Dan R. MacDon,TRUE,TRUE,TRUE,TRUE,21.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Brenda Stubbert - The 2nd Collection,,cranford-bs2-bk,"Cranford Publications: Brenda Stubbert - The 2nd Collection book contains 161 tunes, a mix of traditional and original material carefully compiled to complement other books we sell. Includes",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Brenda Stubbert - The 2nd Collection - Celtic Music,"Cranford Publications: Brenda Stubbert - The 2nd Collection book contains 161 tunes, a mix of traditional and original material carefully compiled to complement",cranford-publications-brenda-stubbert-the-2nd-collection,,VISIBLE,,0.5,Celtic Music,"Cranford Publications: Brenda Stubbert - The 2nd Collection book contains 161 tunes, a mix of tradit",TRUE,TRUE,TRUE,TRUE,19.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Stubbert - 2nd Collection + Jig Time bundle,,cranford-bs2c-bk-cd,Cranford Publications: Stubbert - 2nd Collection + Jig Time bundle The bundle includes Brenda's 2nd book and her CD from 1994. Brenda's two books are both well represented on this recording and bundles are available with either book. Brenda Stubbert - Collection of Fiddle Tunes (book),Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Stubbert - 2nd Collection + Jig Time bundle - Celtic Music,Cranford Publications: Stubbert - 2nd Collection + Jig Time bundle The bundle includes Brenda's 2nd book and her CD from 1994. Brenda's two books are both well ,cranford-publications-stubbert-2nd-collection-jig-time-bundle,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Stubbert - 2nd Collection + Jig Time bundle The bundle includes Brenda's 2nd ,TRUE,TRUE,TRUE,TRUE,32.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Stubbert - 2nd Collection + Music All Around bundle,,cranford-bs2e-bk-cd,Cranford Publications: Stubbert - 2nd Collection + Music All Around bundle Stubbert - 2nd Collection + Music All Around bundle This bundle includes Brenda's 2nd book and a CD made during the same years the book was compiled.,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Stubbert - 2nd Collection + Music All Around bundle - Celtic Music,Cranford Publications: Stubbert - 2nd Collection + Music All Around bundle Stubbert - 2nd Collection + Music All Around bundle This bundle includes Brenda's 2nd,cranford-publications-stubbert-2nd-collection-music-all-around-bundle,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Stubbert - 2nd Collection + Music All Around bundle Stubbert - 2nd Collection,TRUE,TRUE,TRUE,TRUE,32.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: The Cape Breton Fiddlers Collection,,cranford-cbfc-bk,"Cranford Publications: The Cape Breton Fiddlers Collection Publications Cape Breton Musical Heritage Series, The Cape Breton Fiddlers Collection is presented to give recognition to The Cape",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: The Cape Breton Fiddlers Collection - Celtic Music,"Cranford Publications: The Cape Breton Fiddlers Collection Publications Cape Breton Musical Heritage Series, The Cape Breton Fiddlers Collection is presented to",cranford-publications-the-cape-breton-fiddlers-collection,,VISIBLE,,0.5,Celtic Music,Cranford Publications: The Cape Breton Fiddlers Collection Publications Cape Breton Musical Heritage,TRUE,TRUE,TRUE,TRUE,19.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Jerry Holland's Collection & Crystal Clear CD,,cranford-jh1-cc_bk-cd,Cranford Publications: Jerry Holland's Collection & Crystal Clear CD Jerry's first book bundled with his solo violin CD which was recorded in 2000. The detailed notes included with the album link all the tunes to printed sources. A great way to hear all the nuances. Guitar or piano accompanists can also benefit by playing along. Winston Fitzgerald - Collection of Fiddle Tunes (book),Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Jerry Holland's Collection & Crystal Clear CD - Celtic Music,Cranford Publications: Jerry Holland's Collection & Crystal Clear CD Jerry's first book bundled with his solo violin CD which was recorded in 2000. The detailed,cranford-publications-jerry-holland-s-collection-crystal-clear-cd,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Jerry Holland's Collection & Crystal Clear CD Jerry's first book bundled with,TRUE,TRUE,TRUE,TRUE,32.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Jerry Holland: The 2nd Collection & Crystal Clear,,cranford-jh2-cc_bk-cd,Cranford Publications: Jerry Holland: The 2nd Collection & Crystal Clear Jerry's 2nd book bundled with his solo violin CD which was recorded in 2000. The detailed notes included with the album link all the tunes to printed sources. A great way to hear all the nuances. Guitar or piano accompanists can also benefit by playing along. Winston Fitzgerald - Collection of Fiddle Tunes (book),Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Jerry Holland: The 2nd Collection & Crystal Clear - Celtic Music,Cranford Publications: Jerry Holland: The 2nd Collection & Crystal Clear Jerry's 2nd book bundled with his solo violin CD which was recorded in 2000. The detail,cranford-publications-jerry-holland-the-2nd-collection-crystal-clear,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Jerry Holland: The 2nd Collection & Crystal Clear Jerry's 2nd book bundled wi,TRUE,TRUE,TRUE,TRUE,34.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Jerry Holland's Collection & Session With CD,,cranford-jh1-sw_bk-cd,Cranford Publications: Jerry Holland's Collection & Session With CD Jerry's famous first Collection bundled with an album made at the same time the book was compiled.,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Jerry Holland's Collection & Session With CD - Celtic Music,Cranford Publications: Jerry Holland's Collection & Session With CD Jerry's famous first Collection bundled with an album made at the same time the book was com,cranford-publications-jerry-holland-s-collection-session-with-cd,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Jerry Holland's Collection & Session With CD Jerry's famous first Collection ,TRUE,TRUE,TRUE,TRUE,32.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Jerry Holland: the 2nd Collection & Fiddler's Choice,,cranford-jh2-fc_bk-cd,Cranford Publications: Jerry Holland: the 2nd Collection & Fiddler's Choice Jerry Holland: the 2nd Collection & Fiddler's Choice Jerry's 2nd book contains 323 traditional and original tunes not found in his first book. Fiddler's Choice is a studio album which includes 30 of the tunes from the book.,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Jerry Holland: the 2nd Collection & Fiddler's Choice - Celtic Music,Cranford Publications: Jerry Holland: the 2nd Collection & Fiddler's Choice Jerry Holland: the 2nd Collection & Fiddler's Choice Jerry's 2nd book contains 323 t,cranford-publications-jerry-holland-the-2nd-collection-fiddler-s-choice,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Jerry Holland: the 2nd Collection & Fiddler's Choice Jerry Holland: the 2nd C,TRUE,TRUE,TRUE,TRUE,34.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Winston Fitzgerald Collection & Classic Cuts CD,,cranford-wfc-cc_bk-cd,Cranford Publications: Winston Fitzgerald Collection & Classic Cuts CD Winston has set the standard for Cape Breton fiddling. Classic Cuts gives a sampling of his music recorded during the 1950s & 60s. Specially priced book-CD bundle. Brenda Stubbert - Collection of Fiddle Tunes (book),Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Winston Fitzgerald Collection & Classic Cuts CD - Celtic Music,Cranford Publications: Winston Fitzgerald Collection & Classic Cuts CD Winston has set the standard for Cape Breton fiddling. Classic Cuts gives a sampling of h,cranford-publications-winston-fitzgerald-collection-classic-cuts-cd,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Winston Fitzgerald Collection & Classic Cuts CD Winston has set the standard ,TRUE,TRUE,TRUE,TRUE,34.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Brenda Stubbert's Collection and In Jig Time CD,,cranford-bs1-jigtime_bk-cd,"Cranford Publications: Brenda Stubbert's Collection and In Jig Time CD This new edition of Brenda's first book has been revised to include her choices for piano chords. The bundled CD was recorded the same year that the book was first compiled. The Lighthouse Collection, Paul Cranford (Book only)",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Brenda Stubbert's Collection and In Jig Time CD - Celtic Music,Cranford Publications: Brenda Stubbert's Collection and In Jig Time CD This new edition of Brenda's first book has been revised to include her choices for piano,cranford-publications-brenda-stubbert-s-collection-and-in-jig-time-cd,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Brenda Stubbert's Collection and In Jig Time CD This new edition of Brenda's ,TRUE,TRUE,TRUE,TRUE,32.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: John Campbell - A Cape Breton Legacy,,cranford-cj-cbl-bk,Cranford Publications: John Campbell - A Cape Breton Legacy contains all of John's 59 original compositions plus nearly 300 traditional tunes as played by John. Many of his tunes are Cape,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: John Campbell - A Cape Breton Legacy - Celtic Music,Cranford Publications: John Campbell - A Cape Breton Legacy contains all of John's 59 original compositions plus nearly 300 traditional tunes as played by John.,cranford-publications-john-campbell-a-cape-breton-legacy,,VISIBLE,,0.5,Celtic Music,Cranford Publications: John Campbell - A Cape Breton Legacy contains all of John's 59 original compo,TRUE,TRUE,TRUE,TRUE,21.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Kinnon Beaton - 105 Original Fiddle Tunes - book,,cranford-bk105t-bk,Cranford Publications: Kinnon Beaton - 105 Original Fiddle Tunes - book an output of over 700 tunes Kinnon is perhaps the most prolific,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Kinnon Beaton - 105 Original Fiddle Tunes - book - Celtic Music,Cranford Publications: Kinnon Beaton - 105 Original Fiddle Tunes - book an output of over 700 tunes Kinnon is perhaps the most prolific,cranford-publications-kinnon-beaton-105-original-fiddle-tunes-book,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Kinnon Beaton - 105 Original Fiddle Tunes - book an output of over 700 tunes ,TRUE,TRUE,TRUE,TRUE,19.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: Andrea Beaton - From the Albums - book,,cranford-bafa-bk,"Cranford Publications: Andrea Beaton - From the Albums - book Produced in 2008, this delightful little book contains 47 tunes - all of which have been recorded by Andrea or her acquaintances.",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Andrea Beaton - From the Albums - book - Celtic Music,"Cranford Publications: Andrea Beaton - From the Albums - book Produced in 2008, this delightful little book contains 47 tunes - all of which have been recorded ",cranford-publications-andrea-beaton-from-the-albums-book,,VISIBLE,,0.5,Celtic Music,"Cranford Publications: Andrea Beaton - From the Albums - book Produced in 2008, this delightful litt",TRUE,TRUE,TRUE,TRUE,19.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: The Fiddletree - by Otis Tomas,,cranford-toft-bk-cd,"Cranford Publications: The Fiddletree - by Otis Tomas Otis Tomas is a modern-day Rennaisance man. In this incomparable book he displays a rare combination of talents - articulate writing, tasty",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: The Fiddletree - by Otis Tomas - Celtic Music,Cranford Publications: The Fiddletree - by Otis Tomas Otis Tomas is a modern-day Rennaisance man. In this incomparable book he displays a rare combination of ta,cranford-publications-the-fiddletree-by-otis-tomas,,VISIBLE,,0.5,Celtic Music,Cranford Publications: The Fiddletree - by Otis Tomas Otis Tomas is a modern-day Rennaisance man. In,TRUE,TRUE,TRUE,TRUE,30.00,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,Cranford Publications: The Celtic Colours Collection,,cranford-ccc-b,"Cranford Publications: The Celtic Colours Collection tunes and songs composed as a result of the first 15 years of Cape most of them well-known touring musicians, are represented in this",Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: The Celtic Colours Collection - Celtic Music,Cranford Publications: The Celtic Colours Collection tunes and songs composed as a result of the first 15 years of Cape most of them well-known touring musician,cranford-publications-the-celtic-colours-collection,,VISIBLE,,0.5,Celtic Music,Cranford Publications: The Celtic Colours Collection tunes and songs composed as a result of the fir,TRUE,TRUE,TRUE,TRUE,19.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
